county,fault_score
santa clara,9.67
mono,9.17
los angeles,9.13
imperial,9.00
inyo,8.72
san bernardino,8.44
contra costa,8.36
san benito,8.25
ventura,8.15
san diego,8.00
santa cruz,8.00
fresno,7.86
merced,7.80
alameda,7.50
yolo,7.50
mendocino,7.43
humboldt,7.36
monterey,7.00
san luis obispo,6.71
san mateo,6.67
santa barbara,6.56
riverside,6.56
lassen,6.29
orange,6.25
kern,6.07
del norte,6.00
lake,6.00
marin,6.00
nevada,6.00
san joaquin,6.00
sierra,6.00
sonoma,5.71
siskiyou,5.60
modoc,5.57
napa,5.50
plumas,5.50
placer,5.33
stanislaus,5.00
tulare,5.00
shasta,4.57
colusa,4.00
el dorado,4.00
glenn,4.00
solano,4.00
sutter,4.00
tehama,4.00
