county,fault_num,fault_length,fault_slip,length_score,number_score,fault_score
alameda,8,219,2.25,2,1,7.5
colusa,2,NA,1,1,1,4
contra costa,11,235,2.1818181818181817,2,2,8.363636363636363
del norte,2,NA,2,1,1,6
el dorado,3,99,1,1,1,4
fresno,7,175,2.4285714285714284,2,1,7.857142857142857
glenn,2,65,1,1,1,4
humboldt,22,NA,1.6818181818181819,1,3,7.363636363636363
imperial,19,665,2,3,2,9
inyo,43,NA,1.8604651162790697,1,4,8.720930232558139
kern,15,NA,1.5333333333333334,1,2,6.066666666666666
lake,10,NA,1.5,1,2,6
lassen,14,NA,1.6428571428571428,1,2,6.285714285714286
los angeles,45,NA,2.066666666666667,1,4,9.133333333333333
marin,3,NA,2,1,1,6
mendocino,7,NA,2.7142857142857144,1,1,7.428571428571429
merced,5,194,2.4,2,1,7.8
modoc,14,NA,1.2857142857142858,1,2,5.571428571428571
mono,24,690,1.5833333333333333,3,3,9.166666666666666
monterey,19,NA,2,1,2,7
napa,8,NA,1.75,1,1,5.5
nevada,1,38,2,1,1,6
orange,8,199,1.625,2,1,6.25
placer,3,NA,1.6666666666666667,1,1,5.333333333333334
plumas,12,NA,1.25,1,2,5.5
riverside,18,NA,1.7777777777777777,1,2,6.555555555555555
san benito,8,251,2.125,3,1,8.25
san bernardino,64,NA,1.71875,1,4,8.4375
san diego,24,NA,2,1,3,8
san joaquin,2,119,1.5,2,1,6
san luis obispo,14,NA,1.8571428571428572,1,2,6.714285714285714
san mateo,6,270,1.3333333333333333,3,1,6.666666666666666
santa barbara,25,NA,1.28,1,3,6.5600000000000005
santa clara,12,455,2.3333333333333335,3,2,9.666666666666668
santa cruz,2,136,2.5,2,1,8
shasta,7,NA,1.2857142857142858,1,1,4.571428571428571
sierra,1,18,2,1,1,6
siskiyou,10,NA,1.3,1,2,5.6
solano,4,NA,1,1,1,4
sonoma,17,NA,1.3529411764705883,1,2,5.705882352941177
stanislaus,1,138,1,2,1,5
sutter,1,5,1,1,1,4
tehama,3,NA,1,1,1,4
tulare,1,169,1,2,1,5
ventura,26,NA,2.076923076923077,1,3,8.153846153846153
yolo,4,NA,2.75,1,1,7.5
