county,year,population
lake,2019,64386
yuba,2019,78668
lassen,2019,30573
sonoma,2019,494336
imperial,2019,181215
alameda,2019,1671329
napa,2019,137744
sierra,2019,3005
yolo,2019,220500
nevada,2019,99755
mendocino,2019,86749
los angeles,2019,10039107
santa clara,2019,1927852
siskiyou,2019,43539
del norte,2019,27812
merced,2019,277680
mariposa,2019,17203
modoc,2019,8841
contra costa,2019,1153526
inyo,2019,18039
stanislaus,2019,550660
santa barbara,2019,446499
tehama,2019,65084
mono,2019,14444
san benito,2019,62808
sacramento,2019,1552058
el dorado,2019,192843
monterey,2019,434061
san francisco,2019,881549
san diego,2019,3338330
tulare,2019,466195
humboldt,2019,135558
alpine,2019,1129
madera,2019,157327
santa cruz,2019,273213
trinity,2019,12285
riverside,2019,2470546
san bernardino,2019,2180085
marin,2019,258826
placer,2019,398329
shasta,2019,180080
solano,2019,447643
colusa,2019,21547
glenn,2019,28393
butte,2019,219186
kings,2019,152940
plumas,2019,18807
san luis obispo,2019,283111
fresno,2019,999101
kern,2019,900202
orange,2019,3175692
ventura,2019,846006
calaveras,2019,45905
sutter,2019,96971
san mateo,2019,766573
tuolumne,2019,54478
san joaquin,2019,762148
amador,2019,39752
alameda,2018,1666753
alpine,2018,1101
amador,2018,39383
butte,2018,231256
calaveras,2018,45602
colusa,2018,21627
contra costa,2018,1150215
del norte,2018,27828
el dorado,2018,190678
fresno,2018,994400
glenn,2018,28047
humboldt,2018,136373
imperial,2018,181827
inyo,2018,17987
kern,2018,896764
kings,2018,151366
lake,2018,64382
lassen,2018,30802
los angeles,2018,10105518
madera,2018,157672
marin,2018,259666
mariposa,2018,17471
mendocino,2018,87606
merced,2018,274765
modoc,2018,8777
mono,2018,14250
monterey,2018,435594
napa,2018,139417
nevada,2018,99696
orange,2018,3185968
placer,2018,393149
plumas,2018,18804
riverside,2018,2450758
sacramento,2018,1540975
san benito,2018,61537
san bernardino,2018,2171603
san diego,2018,3343364
san francisco,2018,883305
san joaquin,2018,752660
san luis obispo,2018,284010
san mateo,2018,769545
santa barbara,2018,446527
santa clara,2018,1937570
santa cruz,2018,274255
shasta,2018,180040
sierra,2018,2987
siskiyou,2018,43724
solano,2018,446610
sonoma,2018,499942
stanislaus,2018,549815
sutter,2018,96807
tehama,2018,63916
trinity,2018,12535
tulare,2018,465861
tuolumne,2018,54539
ventura,2018,850967
yolo,2018,220408
yuba,2018,78041
kings,2017,150101
lake,2017,64246
lassen,2017,31163
los angeles,2017,10163507
madera,2017,156890
marin,2017,260955
alameda,2017,1663190
alpine,2017,1120
amador,2017,38626
butte,2017,229294
calaveras,2017,45670
colusa,2017,21805
contra costa,2017,1147439
del norte,2017,27470
el dorado,2017,188987
fresno,2017,989255
glenn,2017,28094
humboldt,2017,136754
imperial,2017,182830
inyo,2017,18026
kern,2017,893119
yuba,2017,77031
mariposa,2017,17569
mendocino,2017,88018
merced,2017,272673
modoc,2017,8859
mono,2017,14168
monterey,2017,437907
napa,2017,140973
nevada,2017,99814
orange,2017,3190400
placer,2017,386166
plumas,2017,18742
riverside,2017,2423266
sacramento,2017,1530615
san benito,2017,60310
san bernardino,2017,2157404
san diego,2017,3337685
san francisco,2017,884363
san joaquin,2017,745424
san luis obispo,2017,283405
san mateo,2017,771410
santa barbara,2017,448150
santa clara,2017,1938153
santa cruz,2017,275897
shasta,2017,179921
sierra,2017,2999
siskiyou,2017,43853
solano,2017,445458
sonoma,2017,504217
stanislaus,2017,547899
sutter,2017,96648
tehama,2017,63926
trinity,2017,12709
tulare,2017,464493
tuolumne,2017,54248
ventura,2017,854223
yolo,2017,219116
mariposa,2016,17410
mendocino,2016,87628
merced,2016,268672
modoc,2016,8795
mono,2016,13981
monterey,2016,435232
napa,2016,142166
nevada,2016,99107
orange,2016,3172532
placer,2016,380531
plumas,2016,18627
riverside,2016,2387741
sacramento,2016,1514460
san benito,2016,59414
san bernardino,2016,2140096
san diego,2016,3317749
san francisco,2016,870887
san joaquin,2016,733709
san luis obispo,2016,282887
san mateo,2016,764797
santa barbara,2016,446170
santa clara,2016,1919402
santa cruz,2016,274673
shasta,2016,179631
sierra,2016,2947
siskiyou,2016,43603
alameda,2016,1647704
alpine,2016,1071
amador,2016,37383
butte,2016,226864
calaveras,2016,45171
colusa,2016,21588
contra costa,2016,1135127
del norte,2016,27540
el dorado,2016,185625
fresno,2016,979915
glenn,2016,28085
humboldt,2016,136646
imperial,2016,180883
inyo,2016,18144
kern,2016,884788
kings,2016,149785
lake,2016,64116
lassen,2016,30870
los angeles,2016,10137915
madera,2016,154697
marin,2016,260651
solano,2016,440207
sonoma,2016,503070
stanislaus,2016,541560
sutter,2016,96651
tehama,2016,63276
trinity,2016,12782
tulare,2016,460437
tuolumne,2016,53804
ventura,2016,849738
yolo,2016,215802
yuba,2016,75275
butte,2015,225411
calaveras,2015,44828
colusa,2015,21482
contra costa,2015,1126745
del norte,2015,27254
el dorado,2015,184452
fresno,2015,974861
glenn,2015,28017
humboldt,2015,135727
imperial,2015,180191
inyo,2015,18260
kern,2015,882176
kings,2015,150965
lake,2015,64591
lassen,2015,31345
los angeles,2015,10170292
madera,2015,154998
marin,2015,261221
mariposa,2015,17531
mendocino,2015,87649
alameda,2015,1638215
alpine,2015,1110
amador,2015,37001
santa cruz,2015,274146
shasta,2015,179533
sierra,2015,2967
siskiyou,2015,43554
solano,2015,436092
sonoma,2015,502146
stanislaus,2015,538388
sutter,2015,96463
tehama,2015,63308
trinity,2015,13069
tulare,2015,459863
tuolumne,2015,53709
ventura,2015,850536
yolo,2015,213016
yuba,2015,74492
merced,2015,268455
modoc,2015,8965
mono,2015,13909
monterey,2015,433898
napa,2015,142456
nevada,2015,98877
orange,2015,3169776
placer,2015,375391
plumas,2015,18409
riverside,2015,2361026
sacramento,2015,1501335
san benito,2015,58792
san bernardino,2015,2128133
san diego,2015,3299521
san francisco,2015,864816
san joaquin,2015,726106
san luis obispo,2015,281401
san mateo,2015,765135
santa barbara,2015,444769
santa clara,2015,1918044
alameda,2014,1510271
alpine,2014,1175
amador,2014,38091
butte,2014,220000
calaveras,2014,45578
colusa,2014,21419
contra costa,2014,1049025
del norte,2014,28610
el dorado,2014,181058
fresno,2014,930450
glenn,2014,28122
humboldt,2014,134623
imperial,2014,174528
inyo,2014,18546
kern,2014,839631
kings,2014,152982
lake,2014,64665
lassen,2014,34895
los angeles,2014,9818605
madera,2014,150865
marin,2014,252409
mariposa,2014,18251
mendocino,2014,87841
merced,2014,255793
modoc,2014,9686
mono,2014,14202
monterey,2014,415057
napa,2014,136484
nevada,2014,98764
orange,2014,3010232
placer,2014,348432
plumas,2014,20007
riverside,2014,2189641
sacramento,2014,1418788
san benito,2014,55269
san bernardino,2014,2035210
san diego,2014,3095313
san francisco,2014,805235
san joaquin,2014,685306
san luis obispo,2014,269637
san mateo,2014,718451
santa barbara,2014,423895
santa clara,2014,1781642
santa cruz,2014,262382
shasta,2014,177223
sierra,2014,3240
siskiyou,2014,44900
solano,2014,413344
sonoma,2014,483878
stanislaus,2014,514453
sutter,2014,94737
tehama,2014,63463
trinity,2014,13786
tulare,2014,442179
tuolumne,2014,55365
ventura,2014,823318
yolo,2014,200849
yuba,2014,72155
alameda,2013,1510271
alpine,2013,1175
amador,2013,38091
butte,2013,220000
calaveras,2013,45578
colusa,2013,21419
contra costa,2013,1049025
del norte,2013,28610
el dorado,2013,181058
fresno,2013,930450
glenn,2013,28122
humboldt,2013,134623
imperial,2013,174528
inyo,2013,18546
kern,2013,839631
kings,2013,152982
lake,2013,64665
lassen,2013,34895
los angeles,2013,9818605
madera,2013,150865
marin,2013,252409
mariposa,2013,18251
mendocino,2013,87841
merced,2013,255793
modoc,2013,9686
mono,2013,14202
monterey,2013,415057
napa,2013,136484
nevada,2013,98764
orange,2013,3010232
placer,2013,348432
plumas,2013,20007
riverside,2013,2189641
sacramento,2013,1418788
san benito,2013,55269
san bernardino,2013,2035210
san diego,2013,3095313
san francisco,2013,805235
san joaquin,2013,685306
san luis obispo,2013,269637
san mateo,2013,718451
santa barbara,2013,423895
santa clara,2013,1781642
santa cruz,2013,262382
shasta,2013,177223
sierra,2013,3240
siskiyou,2013,44900
solano,2013,413344
sonoma,2013,483878
stanislaus,2013,514453
sutter,2013,94737
tehama,2013,63463
trinity,2013,13786
tulare,2013,442179
tuolumne,2013,55365
ventura,2013,823318
yolo,2013,200849
yuba,2013,72155
alameda,2012,1510271
alpine,2012,1175
amador,2012,38091
butte,2012,220000
calaveras,2012,45578
colusa,2012,21419
contra costa,2012,1049025
del norte,2012,28610
el dorado,2012,181058
fresno,2012,930450
glenn,2012,28122
humboldt,2012,134623
imperial,2012,174528
inyo,2012,18546
kern,2012,839631
kings,2012,152982
lake,2012,64665
lassen,2012,34895
los angeles,2012,9818605
madera,2012,150865
marin,2012,252409
mariposa,2012,18251
mendocino,2012,87841
merced,2012,255793
modoc,2012,9686
mono,2012,14202
monterey,2012,415057
napa,2012,136484
nevada,2012,98764
orange,2012,3010232
placer,2012,348432
plumas,2012,20007
riverside,2012,2189641
sacramento,2012,1418788
san benito,2012,55269
san bernardino,2012,2035210
san diego,2012,3095313
san francisco,2012,805235
san joaquin,2012,685306
san luis obispo,2012,269637
san mateo,2012,718451
santa barbara,2012,423895
santa clara,2012,1781642
santa cruz,2012,262382
shasta,2012,177223
sierra,2012,3240
siskiyou,2012,44900
solano,2012,413344
sonoma,2012,483878
stanislaus,2012,514453
sutter,2012,94737
tehama,2012,63463
trinity,2012,13786
tulare,2012,442179
tuolumne,2012,55365
ventura,2012,823318
yolo,2012,200849
yuba,2012,72155
alameda,2011,1510271
alpine,2011,1175
amador,2011,38091
butte,2011,220000
calaveras,2011,45578
colusa,2011,21419
contra costa,2011,1049025
del norte,2011,28610
el dorado,2011,181058
fresno,2011,930450
glenn,2011,28122
humboldt,2011,134623
imperial,2011,174528
inyo,2011,18546
kern,2011,839631
kings,2011,152982
lake,2011,64665
lassen,2011,34895
los angeles,2011,9818605
madera,2011,150865
marin,2011,252409
mariposa,2011,18251
mendocino,2011,87841
merced,2011,255793
modoc,2011,9686
mono,2011,14202
monterey,2011,415057
napa,2011,136484
nevada,2011,98764
orange,2011,3010232
placer,2011,348432
plumas,2011,20007
riverside,2011,2189641
sacramento,2011,1418788
san benito,2011,55269
san bernardino,2011,2035210
san diego,2011,3095313
san francisco,2011,805235
san joaquin,2011,685306
san luis obispo,2011,269637
san mateo,2011,718451
santa barbara,2011,423895
santa clara,2011,1781642
santa cruz,2011,262382
shasta,2011,177223
sierra,2011,3240
siskiyou,2011,44900
solano,2011,413344
sonoma,2011,483878
stanislaus,2011,514453
sutter,2011,94737
tehama,2011,63463
trinity,2011,13786
tulare,2011,442179
tuolumne,2011,55365
ventura,2011,823318
yolo,2011,200849
yuba,2011,72155
alameda,2010,1510271
alpine,2010,1175
amador,2010,38091
butte,2010,220000
calaveras,2010,45578
colusa,2010,21419
contra costa,2010,1049025
del norte,2010,28610
el dorado,2010,181058
fresno,2010,930450
glenn,2010,28122
humboldt,2010,134623
imperial,2010,174528
inyo,2010,18546
kern,2010,839631
kings,2010,152982
lake,2010,64665
lassen,2010,34895
los angeles,2010,9818605
madera,2010,150865
marin,2010,252409
mariposa,2010,18251
mendocino,2010,87841
merced,2010,255793
modoc,2010,9686
mono,2010,14202
monterey,2010,415057
napa,2010,136484
nevada,2010,98764
orange,2010,3010232
placer,2010,348432
plumas,2010,20007
riverside,2010,2189641
sacramento,2010,1418788
san benito,2010,55269
san bernardino,2010,2035210
san diego,2010,3095313
san francisco,2010,805235
san joaquin,2010,685306
san luis obispo,2010,269637
san mateo,2010,718451
santa barbara,2010,423895
santa clara,2010,1781642
santa cruz,2010,262382
shasta,2010,177223
sierra,2010,3240
siskiyou,2010,44900
solano,2010,413344
sonoma,2010,483878
stanislaus,2010,514453
sutter,2010,94737
tehama,2010,63463
trinity,2010,13786
tulare,2010,442179
tuolumne,2010,55365
ventura,2010,823318
yolo,2010,200849
yuba,2010,72155
